Name of the initiative,Instrument Type,Country,Region,Jurisdiction Covered,Metric,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Spain carbon tax,Carbon tax,Spain,Europe & Central Asia,Spain,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3405,0,113.1768,187.0927392,136.3643132,123.5959294,120.2960335,82.22200003,77.364,103.3125
New Brunswick OBPS,ETS,Canada,North America,New Brunswick,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3405,0,0,0,0,0,0,Not available,0,0
Ontario EPS,ETS,Canada,North America,Ontario,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not available,Not available
Indonesia ETS,ETS,Indonesia,East Asia & Pacific,Indonesia,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not available
Germany ETS,ETS,Germany,Europe & Central Asia,Germany,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8438.130245,7076.48508,11679.87123
Luxembourg carbon tax,Carbon tax,Luxembourg,Europe & Central Asia,Luxembourg,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256.1802601,286.887816,294.919125
Montenegro ETS,ETS,Montenegro,Europe & Central Asia,Montenegro,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not available,Not available
UK ETS,ETS,United Kingdom,Europe & Central Asia,United Kingdom,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5937.05461,8061.21504,5201.262653
Zacatecas carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Zacatecas,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not available,Not available,Not available,Not available,27.1183953,27.93400258,18.891999
Austria ETS,ETS,Austria,Europe & Central Asia,Austria,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not available,917.08875
Uruguay CO2 tax,Carbon tax,Uruguay,Latin America & Caribbean,Uruguay,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.9186507,274.6067067
Taiwan carbon fee,Carbon tax,Taiwan,East Asia & Pacific,"Taiwan, China",US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queretaro carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Queretaro,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not available,15.46878031
