Region,Country,Subnational Region,Name of the initiative,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
East Asia & Pacific,China,Tianjin,Tianjin pilot ETS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.001497721,0.001500966,0.001494745,0.001469858,0.00143612,0.00143177,0.00126597,0.001208125,0.00119174,0.00119174,0.00119174
Europe & Central Asia,France,National,France carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.003663815,0.003706239,0.003707463,0.003669171,0.003481747,0.003396206,0.003205189,0.003336715,0.003200558,0.003200558,0.003200558
Latin America & Caribbean,Mexico,National,Mexico carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.004512542,0.004571818,0.004602893,0.004547185,0.004321468,0.004364548,0.004234485,0.004183904,0.004420536,0.004420536,0.004420536
Europe & Central Asia,Spain,National,Spain carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000133166,0.000129281,0.000132668,0.000126989,0.000119911,0.000109504,0.00010954,0.000116075,0.000116075,0.000116075
East Asia & Pacific,China,Hubei,Hubei pilot ETS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.002494037,0.0024837,0.002442347,0.002386287,0.002378545,0.001869063,0.001783661,0.001759471,0.001759471,0.001759471
East Asia & Pacific,China,Chongqing,Chongqing pilot ETS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.002472973,0.002462724,0.002421721,0.001281339,0.001387627,0.00189466,0.001808088,0.001783567,0.001783567,0.001783567
East Asia & Pacific,Korea,National,Korea ETS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.012770673,0.013002413,0.012960868,0.012743416,0.012384335,0.01229829,0.012259578,0.012008913,0.012008913,0.012008913
Europe & Central Asia,Portugal,National,Portugal carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0.000531493,0.000564026,0.000521358,0.000486455,0.000461607,0.000434093,0.000444075,0.000444075,0.000444075
North America,Canada,BC,BC OBPS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,0,0,0,0,0,0,0,0
East Asia & Pacific,China,Fujian,Fujian pilot ETS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,0.003320606,0.002388037,0.002377404,0.002467792,0.002881886,0.002842803,0.002842803,0.002842803
